season,team_name,expected_wins,previous_wins
2024-25,Boston Celtics,58.5,64
2024-25,Oklahoma City Thunder,57.5,57
2024-25,New York Knicks,53.5,50
2024-25,Philadelphia 76ers,50.5,47
2024-25,Dallas Mavericks,49.5,50
2024-25,Denver Nuggets,51.5,57
2024-25,Minnesota Timberwolves,51.5,56
2024-25,Milwaukee Bucks,49.5,49
2024-25,Phoenix Suns,48.5,49
2024-25,Cleveland Cavaliers,48.5,48
2024-25,Memphis Grizzlies,47.5,27
2024-25,Orlando Magic,47.5,47
2024-25,Golden State Warriors,43.5,46
2024-25,Los Angeles Lakers,43.5,47
2024-25,Miami Heat,44.5,46
2024-25,New Orleans Pelicans,46.5,49
2024-25,Indiana Pacers,46.5,47
2024-25,Sacramento Kings,46.5,46
2024-25,Houston Rockets,43.5,41
2024-25,Los Angeles Clippers,35.5,51
2024-25,San Antonio Spurs,35.5,22
2024-25,Atlanta Hawks,36.5,36
2024-25,Utah Jazz,28.5,31
2024-25,Detroit Pistons,25.5,14
2024-25,Charlotte Hornets,30.5,21
2024-25,Chicago Bulls,28.5,39
2024-25,Brooklyn Nets,19.5,32
2024-25,Portland Trail Blazers,21.5,21
2024-25,Toronto Raptors,29.5,25
2024-25,Washington Wizards,20.5,15
2023-24,Boston Celtics,54.5,57
2023-24,Denver Nuggets,52.5,53
2023-24,Phoenix Suns,51.5,45
2023-24,Milwaukee Bucks,54.5,58
2023-24,Golden State Warriors,48.5,44
2023-24,Los Angeles Lakers,47.5,43
2023-24,Miami Heat,45.5,44
2023-24,Philadelphia 76ers,48.5,54
2023-24,Los Angeles Clippers,46.5,44
2023-24,Memphis Grizzlies,45.5,51
2023-24,Dallas Mavericks,45.5,38
2023-24,Cleveland Cavaliers,50.5,51
2023-24,Sacramento Kings,44.5,48
2023-24,New Orleans Pelicans,44.5,42
2023-24,New York Knicks,45.5,47
2023-24,Minnesota Timberwolves,44.5,42
2023-24,Atlanta Hawks,42.5,41
2023-24,Toronto Raptors,36.5,41
2023-24,Oklahoma City Thunder,44.5,40
2023-24,Chicago Bulls,37.5,40
2023-24,Brooklyn Nets,37.5,45
2023-24,Portland Trail Blazers,28.5,33
2023-24,San Antonio Spurs,28.5,22
2023-24,Utah Jazz,35.5,37
2023-24,Orlando Magic,37.5,34
2023-24,Indiana Pacers,38.5,35
2023-24,Houston Rockets,31.5,22
2023-24,Washington Wizards,24.5,35
2023-24,Charlotte Hornets,31.5,27
2023-24,Detroit Pistons,28.5,17
2022-23,Boston Celtics,54.5,51
2022-23,Golden State Warriors,52.5,53
2022-23,Milwaukee Bucks,53.5,51
2022-23,Brooklyn Nets,50.5,44
2022-23,Los Angeles Clippers,52.5,42
2022-23,Phoenix Suns,52.5,64
2022-23,Philadelphia 76ers,50.5,51
2022-23,Miami Heat,49.5,53
2022-23,Denver Nuggets,51.5,48
2022-23,Los Angeles Lakers,44.5,33
2022-23,Memphis Grizzlies,49.5,56
2022-23,Dallas Mavericks,48.5,52
2022-23,Minnesota Timberwolves,49.5,46
2022-23,Cleveland Cavaliers,46.5,44
2022-23,Toronto Raptors,46.5,48
2022-23,Chicago Bulls,41.5,46
2022-23,New Orleans Pelicans,45.5,36
2022-23,Atlanta Hawks,46.5,43
2022-23,New York Knicks,38.5,37
2022-23,Portland Trail Blazers,39.5,27
2022-23,Charlotte Hornets,34.5,43
2022-23,Washington Wizards,35.5,35
2022-23,Detroit Pistons,29.5,23
2022-23,Oklahoma City Thunder,23.5,24
2022-23,Orlando Magic,26.5,22
2022-23,Indiana Pacers,24.5,25
2022-23,Sacramento Kings,34.5,30
2022-23,San Antonio Spurs,22.5,34
2022-23,Houston Rockets,23.5,20
2022-23,Utah Jazz,23.5,49
2021-22,Brooklyn Nets,56.5,48
2021-22,Los Angeles Lakers,52.5,42
2021-22,Milwaukee Bucks,54.5,46
2021-22,Golden State Warriors,48.5,39
2021-22,Phoenix Suns,51.5,51
2021-22,Utah Jazz,52.5,52
2021-22,Philadelphia 76ers,50.5,49
2021-22,Los Angeles Clippers,45.5,47
2021-22,Denver Nuggets,47.5,47
2021-22,Miami Heat,48.5,40
2021-22,Dallas Mavericks,48.5,42
2021-22,Atlanta Hawks,47.5,41
2021-22,Boston Celtics,45.5,36
2021-22,Portland Trail Blazers,44.5,42
2021-22,Chicago Bulls,42.5,31
2021-22,New York Knicks,41.5,41
2021-22,Memphis Grizzlies,41.5,38
2021-22,Indiana Pacers,42.5,34
2021-22,New Orleans Pelicans,39.5,31
2021-22,Charlotte Hornets,38.5,33
2021-22,Washington Wizards,33.5,34
2021-22,Toronto Raptors,35.5,27
2021-22,Sacramento Kings,36.5,31
2021-22,Minnesota Timberwolves,35.5,23
2021-22,San Antonio Spurs,28.5,33
2021-22,Cleveland Cavaliers,26.5,22
2021-22,Orlando Magic,22.5,21
2021-22,Oklahoma City Thunder,23.5,22
2021-22,Detroit Pistons,24.5,20
2021-22,Houston Rockets,27.5,17
2020-21,Los Angeles Lakers,47.5,60.05633803
2020-21,Milwaukee Bucks,49.5,62.90410959
2020-21,Brooklyn Nets,45.5,39.86111111
2020-21,Los Angeles Clippers,46.5,55.80555556
2020-21,Boston Celtics,44.5,54.66666667
2020-21,Miami Heat,43.5,49.42465753
2020-21,Denver Nuggets,44.5,51.67123288
2020-21,Philadelphia 76ers,43.5,48.30136986
2020-21,Dallas Mavericks,42.5,47.01333333
2020-21,Golden State Warriors,37.5,18.92307692
2020-21,Toronto Raptors,42.5,60.36111111
2020-21,Utah Jazz,41.5,50.11111111
2020-21,Portland Trail Blazers,40.5,38.78378378
2020-21,Phoenix Suns,38.5,38.19178082
2020-21,Houston Rockets,34.5,50.11111111
2020-21,New Orleans Pelicans,36.5,34.16666667
2020-21,Washington Wizards,32.5,28.47222222
2020-21,Atlanta Hawks,34.5,24.47761194
2020-21,Indiana Pacers,38.5,50.54794521
2020-21,Memphis Grizzlies,31.5,38.19178082
2020-21,Minnesota Timberwolves,29.5,24.34375
2020-21,Oklahoma City Thunder,22.5,50.11111111
2020-21,Orlando Magic,31.5,37.06849315
2020-21,Chicago Bulls,29.5,27.75384615
2020-21,Charlotte Hornets,26.5,29.01538462
2020-21,Sacramento Kings,28.5,35.30555556
2020-21,San Antonio Spurs,28.5,36.95774648
2020-21,New York Knicks,21.5,26.09090909
2020-21,Cleveland Cavaliers,22.5,23.96923077
2020-21,Detroit Pistons,23.5,24.84848485
2019-20,Los Angeles Clippers,53.5,48
2019-20,Los Angeles Lakers,50.5,37
2019-20,Milwaukee Bucks,57.5,60
2019-20,Houston Rockets,54,53
2019-20,Philadelphia 76ers,54.5,51
2019-20,Golden State Warriors,47.5,57
2019-20,Utah Jazz,53.5,50
2019-20,Denver Nuggets,53,54
2019-20,Boston Celtics,48.5,49
2019-20,Portland Trail Blazers,46.5,53
2019-20,Indiana Pacers,46.5,48
2019-20,Brooklyn Nets,43.5,42
2019-20,Toronto Raptors,46.5,58
2019-20,Miami Heat,43.5,39
2019-20,San Antonio Spurs,46.5,48
2019-20,Dallas Mavericks,40.5,33
2019-20,New Orleans Pelicans,37.5,33
2019-20,Sacramento Kings,37.5,39
2019-20,Orlando Magic,41.5,42
2019-20,Atlanta Hawks,33.5,29
2019-20,Oklahoma City Thunder,32.5,49
2019-20,Detroit Pistons,37.5,41
2019-20,Chicago Bulls,33.5,22
2019-20,Minnesota Timberwolves,35.5,36
2019-20,Phoenix Suns,29.5,19
2019-20,Memphis Grizzlies,27.5,33
2019-20,New York Knicks,26.5,17
2019-20,Washington Wizards,27,32
2019-20,Cleveland Cavaliers,24.5,19
2019-20,Charlotte Hornets,23.5,39
2018-19,Golden State Warriors,62.5,58
2018-19,Boston Celtics,59,55
2018-19,Houston Rockets,56.5,65
2018-19,Los Angeles Lakers,48.5,35
2018-19,Toronto Raptors,55.5,59
2018-19,Philadelphia 76ers,53.5,52
2018-19,Oklahoma City Thunder,48.5,48
2018-19,Utah Jazz,49.5,48
2018-19,San Antonio Spurs,43.5,47
2018-19,New Orleans Pelicans,45.5,48
2018-19,Milwaukee Bucks,48,44
2018-19,Washington Wizards,45.5,43
2018-19,Indiana Pacers,47.5,48
2018-19,Denver Nuggets,47.5,46
2018-19,Minnesota Timberwolves,41.5,47
2018-19,Portland Trail Blazers,42,49
2018-19,Miami Heat,43,44
2018-19,Detroit Pistons,38.5,39
2018-19,New York Knicks,28.5,29
2018-19,Dallas Mavericks,35.5,24
2018-19,Los Angeles Clippers,37,42
2018-19,Cleveland Cavaliers,30.5,50
2018-19,Chicago Bulls,30,27
2018-19,Charlotte Hornets,35.5,36
2018-19,Memphis Grizzlies,34.5,22
2018-19,Orlando Magic,31,25
2018-19,Phoenix Suns,29,21
2018-19,Brooklyn Nets,32,28
2018-19,Atlanta Hawks,23.5,24
2018-19,Sacramento Kings,26,27
2017-18,Golden State Warriors,67.5,67
2017-18,Cleveland Cavaliers,53.5,51
2017-18,Boston Celtics,53.5,53
2017-18,San Antonio Spurs,55,61
2017-18,Oklahoma City Thunder,53.5,47
2017-18,Houston Rockets,55.5,55
2017-18,Minnesota Timberwolves,48.5,31
2017-18,Milwaukee Bucks,47.5,42
2017-18,Washington Wizards,48.5,49
2017-18,Toronto Raptors,48.5,51
2017-18,Los Angeles Clippers,43.5,51
2017-18,Philadelphia 76ers,39.5,28
2017-18,Denver Nuggets,45.5,40
2017-18,New Orleans Pelicans,39.5,34
2017-18,Miami Heat,43.5,41
2017-18,Utah Jazz,40.5,51
2017-18,Los Angeles Lakers,33.5,26
2017-18,Portland Trail Blazers,42.5,41
2017-18,Memphis Grizzlies,37.5,43
2017-18,Dallas Mavericks,35.5,33
2017-18,Charlotte Hornets,42.5,36
2017-18,Detroit Pistons,38.5,37
2017-18,New York Knicks,30.5,31
2017-18,Phoenix Suns,28.5,24
2017-18,Sacramento Kings,27.5,32
2017-18,Indiana Pacers,31.5,42
2017-18,Atlanta Hawks,25.5,43
2017-18,Orlando Magic,33.5,29
2017-18,Brooklyn Nets,27.5,20
2017-18,Chicago Bulls,22,41
2016-17,Golden State Warriors,66.5,73
2016-17,Cleveland Cavaliers,56.5,57
2016-17,San Antonio Spurs,57.5,67
2016-17,Boston Celtics,52.5,48
2016-17,Los Angeles Clippers,53.5,53
2016-17,Toronto Raptors,50.5,56
2016-17,Oklahoma City Thunder,45,55
2016-17,New York Knicks,38.5,32
2016-17,Indiana Pacers,44.5,45
2016-17,Memphis Grizzlies,42.5,42
2016-17,Chicago Bulls,39,42
2016-17,Utah Jazz,47.5,40
2016-17,Atlanta Hawks,43.5,48
2016-17,Minnesota Timberwolves,41.5,29
2016-17,Portland Trail Blazers,45.5,44
2016-17,Detroit Pistons,44.5,44
2016-17,New Orleans Pelicans,36.5,30
2016-17,Washington Wizards,42.5,41
2016-17,Houston Rockets,44,41
2016-17,Miami Heat,34.5,48
2016-17,Milwaukee Bucks,34.5,33
2016-17,Orlando Magic,37.5,35
2016-17,Los Angeles Lakers,24.5,17
2016-17,Dallas Mavericks,39.5,42
2016-17,Philadelphia 76ers,23.5,10
2016-17,Sacramento Kings,33.5,33
2016-17,Denver Nuggets,37,33
2016-17,Charlotte Hornets,42.5,48
2016-17,Phoenix Suns,29.5,23
2016-17,Brooklyn Nets,21.5,21
2015-16,Cleveland Cavaliers,56.5,53
2015-16,Golden State Warriors,59.5,67
2015-16,San Antonio Spurs,56.5,55
2015-16,Oklahoma City Thunder,57.5,45
2015-16,Los Angeles Clippers,56.5,56
2015-16,Houston Rockets,56.5,56
2015-16,Chicago Bulls,50.5,50
2015-16,New Orleans Pelicans,45,45
2015-16,Memphis Grizzlies,50.5,55
2015-16,Atlanta Hawks,49.5,60
2015-16,Miami Heat,46.5,37
2015-16,Washington Wizards,45.5,46
2015-16,Toronto Raptors,46.5,49
2015-16,Milwaukee Bucks,42.5,41
2015-16,Indiana Pacers,41.5,38
2015-16,Dallas Mavericks,36.5,50
2015-16,Utah Jazz,42.5,38
2015-16,Boston Celtics,45.5,40
2015-16,Los Angeles Lakers,28.5,21
2015-16,New York Knicks,29.5,17
2015-16,Detroit Pistons,36.5,32
2015-16,Phoenix Suns,36.5,39
2015-16,Portland Trail Blazers,28.5,51
2015-16,Sacramento Kings,36,29
2015-16,Brooklyn Nets,27.5,38
2015-16,Minnesota Timberwolves,27.5,16
2015-16,Denver Nuggets,27.5,30
2015-16,Charlotte Hornets,34,33
2015-16,Orlando Magic,34.5,25
2015-16,Philadelphia 76ers,20.5,18
