date,game_id,home_team,away_team,home_money_line,home_spread,away_money_line,away_spread,api_call_date,season
2020-07-31,4d7b67d20a04804cb54e8722e6be6c09,Brooklyn Nets,Orlando Magic,-110.0,7.0,-110.0,-7.0,2020-07-31T10:00:00 PDT,2019-20
2020-07-31,4e006bd2626d0389ad6747ae89781610,Portland Trail Blazers,Memphis Grizzlies,-111.0,-2.5,-109.0,2.5,2020-07-31T10:00:00 PDT,2019-20
2020-07-31,40deb75ba192047a18a185e2363e3909,Washington Wizards,Phoenix Suns,-110.0,7.0,-110.0,-7.0,2020-07-31T10:00:00 PDT,2019-20
2020-07-31,453bb4a38b1360bbdfc8df574108db1f,Milwaukee Bucks,Boston Celtics,-105.0,-5.0,-114.0,5.0,2020-07-31T10:00:00 PDT,2019-20
2020-07-31,b193a3c6bf198995eb9354f5131881a9,San Antonio Spurs,Sacramento Kings,-109.0,3.0,-111.0,-3.0,2020-07-31T10:00:00 PDT,2019-20
2020-07-31,8557d4c6d061360981bac1375fddb298,Dallas Mavericks,Houston Rockets,-111.0,-2.0,-109.0,2.0,2020-07-31T10:00:00 PDT,2019-20
2020-08-01,81e701a29bac4ef6eb43683bb47bac90,Los Angeles Clippers,New Orleans Pelicans,-110.0,-5.5,-110.0,5.5,2020-07-31T10:00:00 PDT,2019-20
2020-08-01,709b4d5dd7938a5076a005943bf56836,Indiana Pacers,Philadelphia 76ers,-110.0,5.5,-110.0,-5.5,2020-07-31T10:00:00 PDT,2019-20
2020-08-01,923c9dba22d6bfd26d86858bc5fab86e,Denver Nuggets,Miami Heat,-110.0,-1.5,-109.0,1.5,2020-07-31T10:00:00 PDT,2019-20
2020-08-01,aa1f43cc97d1b6517f9247e032fa2d87,Oklahoma City Thunder,Utah Jazz,-110.0,-1.5,-109.0,1.5,2020-07-31T10:00:00 PDT,2019-20
2020-08-01,1356505731e446205f93145304f1e880,Toronto Raptors,Los Angeles Lakers,-109.0,4.0,-111.0,-4.0,2020-07-31T10:00:00 PDT,2019-20
2020-08-02,c74c47100419365f78437c5466542891,Brooklyn Nets,Washington Wizards,-114.0,-3.5,-106.0,3.5,2020-08-02T10:00:00 PDT,2019-20
2020-08-02,384ce5ae6916a18875335145b4a50483,Houston Rockets,Milwaukee Bucks,-109.0,4.5,-111.0,-4.5,2020-08-02T10:00:00 PDT,2019-20
2020-08-02,8db42433b36e6ca104bdd6457b0a441a,Phoenix Suns,Dallas Mavericks,-110.0,6.0,-110.0,-6.0,2020-08-02T10:00:00 PDT,2019-20
2020-08-02,cfc1e51d0e25f50d420e7edaff781850,Memphis Grizzlies,San Antonio Spurs,-111.0,-4.0,-109.0,4.0,2020-08-02T10:00:00 PDT,2019-20
2020-08-02,d002294d594a63cdd68cadc93e861b32,Boston Celtics,Portland Trail Blazers,-108.0,-4.5,-112.0,4.5,2020-08-02T10:00:00 PDT,2019-20
2020-08-02,5b8dfaa765a756f37497a69ec937ba1f,Orlando Magic,Sacramento Kings,-111.0,-2.5,-109.0,2.5,2020-08-02T10:00:00 PDT,2019-20
2020-08-03,7841dda1c31430bd0882ec37f531a457,New Orleans Pelicans,Memphis Grizzlies,-111.0,-4.5,-109.0,4.5,2020-08-03T10:00:00 PDT,2019-20
2020-08-03,eb62bce6ddb4a459bd9a479b0d029cc3,Philadelphia 76ers,San Antonio Spurs,-110.0,-7.0,-110.0,7.0,2020-08-03T10:00:00 PDT,2019-20
2020-08-03,8f41c6dad90a074ab91fc246e3f03e04,Washington Wizards,Indiana Pacers,-106.0,8.5,-114.0,-8.5,2020-08-03T10:00:00 PDT,2019-20
