date,game_id,home_team,away_team,home_money_line,home_spread,away_money_line,away_spread,api_call_date,season
2024-10-22,92cf7db605a734b10e69eabf56e1eac9,Boston Celtics,New York Knicks,-112,-5.5,-108,5.5,2024-10-22T08:00:00 PDT,2024-25
2024-10-22,026ffb7b2ccf8a09dab9b24f33de27f7,Los Angeles Lakers,Minnesota Timberwolves,-108,1.0,-112,-1.0,2024-10-22T08:00:00 PDT,2024-25
2024-10-23,8de94b8af5293483abe2a5c52875810d,Los Angeles Clippers,Phoenix Suns,-112,5.0,-108,-5.0,2024-10-23T08:00:00 PDT,2024-25
2024-10-23,6f2e578dbd59095e80b5b0c74f43d8d8,Utah Jazz,Memphis Grizzlies,-112,2.5,-108,-2.5,2024-10-23T08:00:00 PDT,2024-25
2024-10-23,3614297da4247a7aaef3dbd9463e644b,Houston Rockets,Charlotte Hornets,-108,-7.5,-112,7.5,2024-10-23T08:00:00 PDT,2024-25
2024-10-23,ed3d298bba3be64b2ccdf364afa3c097,New Orleans Pelicans,Chicago Bulls,-108,-6.5,-112,6.5,2024-10-23T08:00:00 PDT,2024-25
2024-10-23,7f82790f1c8e7caa7dfa873ec0547fe4,Portland Trail Blazers,Golden State Warriors,-110,6.0,-110,-6.0,2024-10-23T08:00:00 PDT,2024-25
2024-10-23,8e1c55c639dc5d22d84decb3f27c7b66,Miami Heat,Orlando Magic,-112,-2.0,-108,2.0,2024-10-23T08:00:00 PDT,2024-25
2024-10-23,3f1e025363323de9c99f3d7ec0eb26b7,Atlanta Hawks,Brooklyn Nets,-112,-6.5,-108,6.5,2024-10-23T08:00:00 PDT,2024-25
2024-10-23,520febbdcfd2e1f8c002f0e5969ddd49,Toronto Raptors,Cleveland Cavaliers,-112,6.5,-108,-6.5,2024-10-23T08:00:00 PDT,2024-25
2024-10-23,bcd8b3510e7a9d55ccbd7ce761761e11,Detroit Pistons,Indiana Pacers,-110,5.0,-110,-5.0,2024-10-23T08:00:00 PDT,2024-25
2024-10-23,5908e64fdee6aa0aee10509f928b8344,Philadelphia 76ers,Milwaukee Bucks,-108,3.5,-112,-3.5,2024-10-23T08:00:00 PDT,2024-25
2024-10-24,9e5c6a9f958653c964712b118e07f6ab,Washington Wizards,Boston Celtics,-108,13.5,-112,-13.5,2024-10-24T08:00:00 PDT,2024-25
2024-10-24,9fc2bfeed6fed586c135c5f1bafbab54,Dallas Mavericks,San Antonio Spurs,-112,-8.0,-108,8.0,2024-10-24T08:00:00 PDT,2024-25
2024-10-24,d1c48b0232af93a5b1b27fce495ae28b,Denver Nuggets,Oklahoma City Thunder,-108,-2.0,-112,2.0,2024-10-24T08:00:00 PDT,2024-25
