team_name,elo_seed_2015_16
Golden State Warriors,1723.8949288640738
San Antonio Spurs,1688.0227130468552
Los Angeles Clippers,1667.3742867825058
Houston Rockets,1618.8592264468502
Cleveland Cavaliers,1601.7258974179617
Atlanta Hawks,1595.0692723492614
Memphis Grizzlies,1585.808701909485
Portland Trail Blazers,1577.370900157447
Oklahoma City Thunder,1576.0156239763237
Chicago Bulls,1575.9533323310025
Dallas Mavericks,1564.0444883147466
Toronto Raptors,1547.3456008089984
New Orleans Pelicans,1532.394067337848
Utah Jazz,1529.6042212885275
Boston Celtics,1516.1987561883748
Indiana Pacers,1508.0335100361692
Washington Wizards,1506.086614093423
Phoenix Suns,1486.343954737153
Miami Heat,1470.6460600496198
Milwaukee Bucks,1469.2038234810632
Brooklyn Nets,1468.029558521484
Detroit Pistons,1457.9820872893824
Denver Nuggets,1439.5202583684386
Sacramento Kings,1430.8354737612096
Charlotte Hornets,1427.7457709330722
Orlando Magic,1337.5913608728579
Los Angeles Lakers,1328.458611889343
Minnesota Timberwolves,1317.0330590662566
Philadelphia 76ers,1304.241846868582
New York Knicks,1298.5659928116838
