date,home_team,away_team,home_money_line,home_spread,away_money_line,away_spread,home_score,away_score,season,game_key
2020-07-31,San Antonio Spurs,Sacramento Kings,-109.0,3.0,-111.0,-3.0,,,2019-20,2020-07-31_Sacramento Kings_San Antonio Spurs
2020-07-31,Washington Wizards,Phoenix Suns,-110.0,7.0,-110.0,-7.0,,,2019-20,2020-07-31_Phoenix Suns_Washington Wizards
2020-07-31,Milwaukee Bucks,Boston Celtics,-105.0,-5.0,-114.0,5.0,,,2019-20,2020-07-31_Boston Celtics_Milwaukee Bucks
2020-07-31,Dallas Mavericks,Houston Rockets,-111.0,-2.0,-109.0,2.0,,,2019-20,2020-07-31_Dallas Mavericks_Houston Rockets
2020-07-31,Portland Trail Blazers,Memphis Grizzlies,-111.0,-2.5,-109.0,2.5,,,2019-20,2020-07-31_Memphis Grizzlies_Portland Trail Blazers
2020-07-31,Brooklyn Nets,Orlando Magic,-110.0,7.0,-110.0,-7.0,,,2019-20,2020-07-31_Brooklyn Nets_Orlando Magic
2020-08-01,Los Angeles Clippers,New Orleans Pelicans,-110.0,-5.5,-110.0,5.5,,,2019-20,2020-08-01_Los Angeles Clippers_New Orleans Pelicans
2020-08-01,Indiana Pacers,Philadelphia 76ers,-110.0,5.5,-110.0,-5.5,,,2019-20,2020-08-01_Indiana Pacers_Philadelphia 76ers
2020-08-01,Denver Nuggets,Miami Heat,-110.0,-1.5,-109.0,1.5,,,2019-20,2020-08-01_Denver Nuggets_Miami Heat
2020-08-01,Oklahoma City Thunder,Utah Jazz,-110.0,-1.5,-109.0,1.5,,,2019-20,2020-08-01_Oklahoma City Thunder_Utah Jazz
2020-08-01,Toronto Raptors,Los Angeles Lakers,-109.0,4.0,-111.0,-4.0,,,2019-20,2020-08-01_Los Angeles Lakers_Toronto Raptors
2020-08-02,Brooklyn Nets,Washington Wizards,-114.0,-3.5,-106.0,3.5,,,2019-20,2020-08-02_Brooklyn Nets_Washington Wizards
2020-08-02,Houston Rockets,Milwaukee Bucks,-109.0,4.5,-111.0,-4.5,,,2019-20,2020-08-02_Houston Rockets_Milwaukee Bucks
2020-08-02,Phoenix Suns,Dallas Mavericks,-110.0,6.0,-110.0,-6.0,,,2019-20,2020-08-02_Dallas Mavericks_Phoenix Suns
2020-08-02,Memphis Grizzlies,San Antonio Spurs,-111.0,-4.0,-109.0,4.0,,,2019-20,2020-08-02_Memphis Grizzlies_San Antonio Spurs
2020-08-02,Boston Celtics,Portland Trail Blazers,-108.0,-4.5,-112.0,4.5,,,2019-20,2020-08-02_Boston Celtics_Portland Trail Blazers
2020-08-02,Orlando Magic,Sacramento Kings,-111.0,-2.5,-109.0,2.5,,,2019-20,2020-08-02_Orlando Magic_Sacramento Kings
2020-08-03,Oklahoma City Thunder,Denver Nuggets,-110.0,-6.5,-110.0,6.5,,,2019-20,2020-08-03_Denver Nuggets_Oklahoma City Thunder
2020-08-03,Miami Heat,Toronto Raptors,-112.0,3.5,-108.0,-3.5,,,2019-20,2020-08-03_Miami Heat_Toronto Raptors
2020-08-03,Washington Wizards,Indiana Pacers,-106.0,8.5,-114.0,-8.5,,,2019-20,2020-08-03_Indiana Pacers_Washington Wizards
2020-08-03,Philadelphia 76ers,San Antonio Spurs,-110.0,-7.0,-110.0,7.0,,,2019-20,2020-08-03_Philadelphia 76ers_San Antonio Spurs
2020-08-03,Los Angeles Lakers,Utah Jazz,-112.0,-6.5,-108.0,6.5,,,2019-20,2020-08-03_Los Angeles Lakers_Utah Jazz
2020-08-03,New Orleans Pelicans,Memphis Grizzlies,-111.0,-4.5,-109.0,4.5,,,2019-20,2020-08-03_Memphis Grizzlies_New Orleans Pelicans
2020-08-04,Miami Heat,Boston Celtics,-109.0,3.5,-111.0,-3.5,,,2019-20,2020-08-04_Boston Celtics_Miami Heat
2020-08-04,Milwaukee Bucks,Brooklyn Nets,-111.0,-18.5,-109.0,18.5,,,2019-20,2020-08-04_Brooklyn Nets_Milwaukee Bucks
2020-08-04,Indiana Pacers,Orlando Magic,-109.0,1.5,-110.0,-1.5,,,2019-20,2020-08-04_Indiana Pacers_Orlando Magic
2020-08-04,Portland Trail Blazers,Houston Rockets,-109.0,3.5,-111.0,-3.5,,,2019-20,2020-08-04_Houston Rockets_Portland Trail Blazers
2020-08-04,Los Angeles Clippers,Phoenix Suns,-110.0,-8.5,-110.0,8.5,,,2019-20,2020-08-04_Los Angeles Clippers_Phoenix Suns
2020-08-04,Sacramento Kings,Dallas Mavericks,-110.0,5.5,-110.0,-5.5,,,2019-20,2020-08-04_Dallas Mavericks_Sacramento Kings
2020-08-05,Orlando Magic,Toronto Raptors,-110.0,7.0,-110.0,-7.0,,,2019-20,2020-08-05_Orlando Magic_Toronto Raptors
2020-08-05,Boston Celtics,Brooklyn Nets,-110.0,-8.5,-110.0,8.5,,,2019-20,2020-08-05_Boston Celtics_Brooklyn Nets
2020-08-05,Los Angeles Lakers,Oklahoma City Thunder,-109.0,-6.0,-111.0,6.0,,,2019-20,2020-08-05_Los Angeles Lakers_Oklahoma City Thunder
2020-08-05,San Antonio Spurs,Denver Nuggets,-109.0,3.5,-111.0,-3.5,,,2019-20,2020-08-05_Denver Nuggets_San Antonio Spurs
2020-08-05,Utah Jazz,Memphis Grizzlies,-110.0,-5.0,-109.0,5.0,,,2019-20,2020-08-05_Memphis Grizzlies_Utah Jazz
2020-08-05,Washington Wizards,Philadelphia 76ers,-110.0,10.5,-110.0,-10.5,,,2019-20,2020-08-05_Philadelphia 76ers_Washington Wizards
2020-08-06,Sacramento Kings,New Orleans Pelicans,-109.0,4.5,-111.0,-4.5,,,2019-20,2020-08-06_New Orleans Pelicans_Sacramento Kings
2020-08-06,Denver Nuggets,Portland Trail Blazers,-114.0,4.5,-106.0,-4.5,,,2019-20,2020-08-06_Denver Nuggets_Portland Trail Blazers
2020-08-06,Phoenix Suns,Indiana Pacers,-109.0,2.0,-111.0,-2.0,,,2019-20,2020-08-06_Indiana Pacers_Phoenix Suns
2020-08-06,Milwaukee Bucks,Miami Heat,-114.0,-9.0,-106.0,9.0,,,2019-20,2020-08-06_Miami Heat_Milwaukee Bucks
2020-08-06,Dallas Mavericks,Los Angeles Clippers,-109.0,4.0,-111.0,-4.0,,,2019-20,2020-08-06_Dallas Mavericks_Los Angeles Clippers
2020-08-06,Houston Rockets,Los Angeles Lakers,-111.0,1.0,-109.0,-1.0,,,2019-20,2020-08-06_Houston Rockets_Los Angeles Lakers
2020-08-07,New Orleans Pelicans,Washington Wizards,-110.0,-8.0,-110.0,8.0,,,2019-20,2020-08-07_New Orleans Pelicans_Washington Wizards
2020-08-07,Memphis Grizzlies,Oklahoma City Thunder,-109.0,4.5,-111.0,-4.5,,,2019-20,2020-08-07_Memphis Grizzlies_Oklahoma City Thunder
2020-08-07,Toronto Raptors,Boston Celtics,-111.0,-2.0,-109.0,2.0,,,2019-20,2020-08-07_Boston Celtics_Toronto Raptors
2020-08-07,San Antonio Spurs,Utah Jazz,-110.0,-9.0,-110.0,9.0,,,2019-20,2020-08-07_San Antonio Spurs_Utah Jazz
2020-08-07,Philadelphia 76ers,Orlando Magic,-112.0,-5.0,-108.0,5.0,,,2019-20,2020-08-07_Orlando Magic_Philadelphia 76ers
2020-08-07,Brooklyn Nets,Sacramento Kings,-109.0,5.0,-110.0,-5.0,,,2019-20,2020-08-07_Brooklyn Nets_Sacramento Kings
2020-08-08,Denver Nuggets,Utah Jazz,-110.0,-1.5,-109.0,1.5,,,2019-20,2020-08-08_Denver Nuggets_Utah Jazz
2020-08-08,Portland Trail Blazers,Los Angeles Clippers,-111.0,-4.5,-109.0,4.5,,,2019-20,2020-08-08_Los Angeles Clippers_Portland Trail Blazers
2020-08-08,Miami Heat,Phoenix Suns,-109.0,2.0,-111.0,-2.0,,,2019-20,2020-08-08_Miami Heat_Phoenix Suns
2020-08-08,Indiana Pacers,Los Angeles Lakers,-110.0,6.0,-110.0,-6.0,,,2019-20,2020-08-08_Indiana Pacers_Los Angeles Lakers
2020-08-08,Dallas Mavericks,Milwaukee Bucks,-110.0,5.5,-110.0,-5.5,,,2019-20,2020-08-08_Dallas Mavericks_Milwaukee Bucks
2020-08-09,Los Angeles Clippers,Brooklyn Nets,-110.0,-11.5,-110.0,11.5,,,2019-20,2020-08-09_Brooklyn Nets_Los Angeles Clippers
2020-08-09,Boston Celtics,Orlando Magic,-110.0,-9.0,-110.0,9.0,,,2019-20,2020-08-09_Boston Celtics_Orlando Magic
2020-08-09,Sacramento Kings,Houston Rockets,-110.0,5.5,-110.0,-5.5,,,2019-20,2020-08-09_Houston Rockets_Sacramento Kings
2020-08-09,Portland Trail Blazers,Philadelphia 76ers,-111.0,-2.5,-109.0,2.5,,,2019-20,2020-08-09_Philadelphia 76ers_Portland Trail Blazers
2020-08-09,New Orleans Pelicans,San Antonio Spurs,-111.0,-3.5,-109.0,3.5,,,2019-20,2020-08-09_New Orleans Pelicans_San Antonio Spurs
2020-08-09,Toronto Raptors,Memphis Grizzlies,-110.0,-6.0,-110.0,6.0,,,2019-20,2020-08-09_Memphis Grizzlies_Toronto Raptors
2020-08-10,Miami Heat,Indiana Pacers,-114.0,-3.5,-106.0,3.5,,,2019-20,2020-08-10_Indiana Pacers_Miami Heat
2020-08-10,Utah Jazz,Dallas Mavericks,-110.0,-6.5,-110.0,6.5,,,2019-20,2020-08-10_Dallas Mavericks_Utah Jazz
2020-08-10,Phoenix Suns,Oklahoma City Thunder,-110.0,-7.5,-110.0,7.5,,,2019-20,2020-08-10_Oklahoma City Thunder_Phoenix Suns
2020-08-10,Milwaukee Bucks,Toronto Raptors,-114.0,-6.5,-106.0,6.5,,,2019-20,2020-08-10_Milwaukee Bucks_Toronto Raptors
2020-08-10,Los Angeles Lakers,Denver Nuggets,-110.0,-1.5,-109.0,1.5,,,2019-20,2020-08-10_Denver Nuggets_Los Angeles Lakers
2020-08-11,Orlando Magic,Brooklyn Nets,-111.0,-4.5,-109.0,4.5,,,2019-20,2020-08-11_Brooklyn Nets_Orlando Magic
2020-08-11,Memphis Grizzlies,Boston Celtics,-109.0,3.0,-111.0,-3.0,,,2019-20,2020-08-11_Boston Celtics_Memphis Grizzlies
2020-08-11,Sacramento Kings,New Orleans Pelicans,-111.0,-2.5,-109.0,2.5,,,2019-20,2020-08-11_New Orleans Pelicans_Sacramento Kings
2020-08-11,Philadelphia 76ers,Phoenix Suns,-110.0,10.0,-110.0,-10.0,,,2019-20,2020-08-11_Philadelphia 76ers_Phoenix Suns
2020-08-11,San Antonio Spurs,Houston Rockets,-110.0,-5.0,-109.0,5.0,,,2019-20,2020-08-11_Houston Rockets_San Antonio Spurs
2020-08-11,Dallas Mavericks,Portland Trail Blazers,-109.0,2.5,-111.0,-2.5,,,2019-20,2020-08-11_Dallas Mavericks_Portland Trail Blazers
2020-08-11,Washington Wizards,Milwaukee Bucks,-110.0,8.0,-110.0,-8.0,,,2019-20,2020-08-11_Milwaukee Bucks_Washington Wizards
2020-08-12,Philadelphia 76ers,Toronto Raptors,-110.0,6.5,-110.0,-6.5,,,2019-20,2020-08-12_Philadelphia 76ers_Toronto Raptors
2020-08-12,Houston Rockets,Indiana Pacers,-111.0,-7.0,-109.0,7.0,,,2019-20,2020-08-12_Houston Rockets_Indiana Pacers
2020-08-12,Denver Nuggets,Los Angeles Clippers,-109.0,5.0,-110.0,-5.0,,,2019-20,2020-08-12_Denver Nuggets_Los Angeles Clippers
2020-08-12,Oklahoma City Thunder,Miami Heat,-109.0,3.0,-111.0,-3.0,,,2019-20,2020-08-12_Miami Heat_Oklahoma City Thunder
2020-08-13,Orlando Magic,New Orleans Pelicans,-114.0,-4.0,-106.0,4.0,,,2019-20,2020-08-13_New Orleans Pelicans_Orlando Magic
2020-08-13,Utah Jazz,San Antonio Spurs,-106.0,8.0,-112.0,-8.0,,,2019-20,2020-08-13_San Antonio Spurs_Utah Jazz
2020-08-13,Brooklyn Nets,Portland Trail Blazers,-110.0,9.5,-110.0,-9.5,,,2019-20,2020-08-13_Brooklyn Nets_Portland Trail Blazers
2020-08-13,Memphis Grizzlies,Milwaukee Bucks,-111.0,-3.0,-109.0,3.0,,,2019-20,2020-08-13_Memphis Grizzlies_Milwaukee Bucks
2020-08-13,Phoenix Suns,Dallas Mavericks,-110.0,-9.0,-110.0,9.0,,,2019-20,2020-08-13_Dallas Mavericks_Phoenix Suns
2020-08-13,Los Angeles Lakers,Sacramento Kings,-109.0,-3.5,-111.0,3.5,,,2019-20,2020-08-13_Los Angeles Lakers_Sacramento Kings
