date,home_team,away_team,home_money_line,home_spread,away_money_line,away_spread,home_score,away_score,season
01/01/2014,Washington Wizards,Dallas Mavericks,,,,,78,87,2013-14
01/01/2014,Toronto Raptors,Indiana Pacers,,,,,95,82,2013-14
01/01/2014,Minnesota Timberwolves,New Orleans Pelicans,,,,,124,112,2013-14
01/01/2014,Denver Nuggets,Philadelphia 76ers,,,,,102,114,2013-14
01/01/2014,Los Angeles Clippers,Charlotte Bobcats,,,,,112,85,2013-14
01/01/2015,Chicago Bulls,Denver Nuggets,,,,,106,101,2014-15
01/01/2015,Minnesota Timberwolves,Sacramento Kings,,,,,107,110,2014-15
01/02/2014,Cleveland Cavaliers,Orlando Magic,,,,,87,81,2013-14
01/02/2014,Miami Heat,Golden State Warriors,,,,,114,123,2013-14
01/02/2014,Chicago Bulls,Boston Celtics,,,,,94,82,2013-14
01/02/2014,Oklahoma City Thunder,Brooklyn Nets,,,,,93,95,2013-14
01/02/2014,San Antonio Spurs,New York Knicks,,,,,101,105,2013-14
01/02/2014,Phoenix Suns,Memphis Grizzlies,,,,,91,99,2013-14
01/02/2014,Utah Jazz,Milwaukee Bucks,,,,,96,87,2013-14
01/02/2014,Portland Trail Blazers,Charlotte Bobcats,,,,,134,104,2013-14
01/02/2014,Sacramento Kings,Philadelphia 76ers,,,,,104,113,2013-14
01/02/2015,Charlotte Hornets,Cleveland Cavaliers,,,,,87,91,2014-15
01/02/2015,Orlando Magic,Brooklyn Nets,,,,,98,100,2014-15
01/02/2015,Boston Celtics,Dallas Mavericks,,,,,101,119,2014-15
01/02/2015,New York Knicks,Detroit Pistons,,,,,81,97,2014-15
01/02/2015,New Orleans Pelicans,Houston Rockets,,,,,111,83,2014-15
01/02/2015,Oklahoma City Thunder,Washington Wizards,,,,,109,102,2014-15
01/02/2015,Milwaukee Bucks,Indiana Pacers,,,,,91,94,2014-15
01/02/2015,Phoenix Suns,Philadelphia 76ers,,,,,112,96,2014-15
01/02/2015,Utah Jazz,Atlanta Hawks,,,,,92,98,2014-15
01/02/2015,Golden State Warriors,Toronto Raptors,,,,,126,105,2014-15
01/02/2015,Los Angeles Lakers,Memphis Grizzlies,,,,,106,109,2014-15
01/03/2014,Washington Wizards,Toronto Raptors,,,,,88,101,2013-14
01/03/2014,Atlanta Hawks,Golden State Warriors,,,,,100,101,2013-14
01/03/2014,Boston Celtics,New Orleans Pelicans,,,,,92,95,2013-14
01/03/2014,Houston Rockets,New York Knicks,,,,,102,100,2013-14
01/03/2014,Dallas Mavericks,Los Angeles Clippers,,,,,112,119,2013-14
