date,home_team,away_team,home_money_line,home_spread,away_money_line,away_spread,home_score,away_score,season
2015-10-27,Atlanta Hawks,Detroit Pistons,-320.0,-7.0,255.0,7.0,94.0,106.0,2015-16
2015-10-27,Chicago Bulls,Cleveland Cavaliers,-180.0,-4.0,160.0,4.0,97.0,95.0,2015-16
2015-10-27,Golden State Warriors,New Orleans Pelicans,-710.0,-10.5,510.0,10.5,111.0,95.0,2015-16
2015-10-28,Orlando Magic,Washington Wizards,160.0,4.0,-180.0,-4.0,87.0,88.0,2015-16
2015-10-28,Oklahoma City Thunder,San Antonio Spurs,-185.0,-4.0,165.0,4.0,112.0,106.0,2015-16
2015-10-28,Portland Trail Blazers,New Orleans Pelicans,-125.0,-2.0,105.0,2.0,112.0,94.0,2015-16
2015-10-28,Milwaukee Bucks,New York Knicks,-205.0,-4.5,175.0,4.5,97.0,122.0,2015-16
2015-10-28,Sacramento Kings,Los Angeles Clippers,190.0,5.5,-230.0,-5.5,104.0,111.0,2015-16
2015-10-28,Toronto Raptors,Indiana Pacers,-235.0,-5.5,195.0,5.5,106.0,99.0,2015-16
2015-10-28,Los Angeles Lakers,Minnesota Timberwolves,-140.0,-2.5,120.0,2.5,111.0,112.0,2015-16
2015-10-28,Houston Rockets,Denver Nuggets,-710.0,-10.5,510.0,10.5,85.0,105.0,2015-16
2015-10-28,Phoenix Suns,Dallas Mavericks,-260.0,-6.0,210.0,6.0,95.0,111.0,2015-16
2015-10-28,Memphis Grizzlies,Cleveland Cavaliers,-215.0,-5.0,185.0,5.0,76.0,106.0,2015-16
2015-10-28,Miami Heat,Charlotte Hornets,-260.0,-6.5,210.0,6.5,104.0,94.0,2015-16
2015-10-28,Brooklyn Nets,Chicago Bulls,175.0,5.0,-205.0,-5.0,100.0,115.0,2015-16
2015-10-28,Boston Celtics,Philadelphia 76ers,-1300.0,-12.5,800.0,12.5,112.0,95.0,2015-16
2015-10-28,Detroit Pistons,Utah Jazz,-115.0,-0.0,-105.0,0.0,92.0,87.0,2015-16
2015-10-29,New York Knicks,Atlanta Hawks,165.0,4.5,-185.0,-4.5,101.0,112.0,2015-16
2015-10-29,Los Angeles Clippers,Dallas Mavericks,-950.0,-12.0,650.0,12.0,104.0,88.0,2015-16
2015-10-29,Indiana Pacers,Memphis Grizzlies,125.0,3.0,-145.0,-3.0,103.0,112.0,2015-16
2015-10-30,Sacramento Kings,Los Angeles Lakers,-305.0,-7.0,245.0,7.0,132.0,114.0,2015-16
2015-10-30,Phoenix Suns,Portland Trail Blazers,-200.0,-4.5,170.0,4.5,110.0,92.0,2015-16
2015-10-30,Philadelphia 76ers,Utah Jazz,260.0,7.5,-325.0,-7.5,71.0,99.0,2015-16
2015-10-30,Orlando Magic,Oklahoma City Thunder,300.0,7.5,-365.0,-7.5,136.0,139.0,2015-16
2015-10-30,Milwaukee Bucks,Washington Wizards,115.0,2.0,-135.0,-2.0,113.0,118.0,2015-16
2015-10-30,Houston Rockets,Golden State Warriors,-105.0,1.0,-115.0,-1.0,92.0,112.0,2015-16
2015-10-30,Atlanta Hawks,Charlotte Hornets,-175.0,-4.0,155.0,4.0,97.0,94.0,2015-16
2015-10-30,Cleveland Cavaliers,Miami Heat,-215.0,-4.5,185.0,4.5,102.0,92.0,2015-16
2015-10-30,Detroit Pistons,Chicago Bulls,125.0,2.5,-145.0,-2.5,98.0,94.0,2015-16
2015-10-30,San Antonio Spurs,Brooklyn Nets,-1600.0,-13.5,900.0,13.5,102.0,75.0,2015-16
2015-10-30,Boston Celtics,Toronto Raptors,-130.0,-2.0,110.0,2.0,103.0,113.0,2015-16
2015-10-30,Denver Nuggets,Minnesota Timberwolves,-160.0,-3.5,140.0,3.5,78.0,95.0,2015-16
2015-10-31,Memphis Grizzlies,Brooklyn Nets,-955.0,-12.0,705.0,12.0,101.0,91.0,2015-16
2015-10-31,New Orleans Pelicans,Golden State Warriors,200.0,5.5,-235.0,-5.5,120.0,134.0,2015-16
2015-10-31,Indiana Pacers,Utah Jazz,-160.0,-4.0,140.0,4.0,76.0,97.0,2015-16
2015-10-31,Los Angeles Clippers,Sacramento Kings,-635.0,-10.5,485.0,10.5,114.0,109.0,2015-16
2015-10-31,Washington Wizards,New York Knicks,-320.0,-7.0,260.0,7.0,110.0,117.0,2015-16
2015-10-31,Portland Trail Blazers,Phoenix Suns,-125.0,-2.0,105.0,2.0,90.0,101.0,2015-16
2015-11-01,Oklahoma City Thunder,Denver Nuggets,-1300.0,-12.5,800.0,12.5,117.0,93.0,2015-16
2015-11-01,Toronto Raptors,Milwaukee Bucks,-240.0,-6.0,200.0,6.0,106.0,87.0,2015-16
2015-11-01,Los Angeles Lakers,Dallas Mavericks,160.0,4.0,-180.0,-4.0,93.0,103.0,2015-16
2015-11-01,Miami Heat,Houston Rockets,-170.0,-4.0,150.0,4.0,109.0,89.0,2015-16
2015-11-01,Boston Celtics,San Antonio Spurs,210.0,5.5,-260.0,-5.5,87.0,95.0,2015-16
2015-11-01,Charlotte Hornets,Atlanta Hawks,120.0,2.0,-140.0,-2.0,92.0,94.0,2015-16
2015-11-01,Chicago Bulls,Orlando Magic,-365.0,-8.0,300.0,8.0,92.0,87.0,2015-16
2015-11-02,Brooklyn Nets,Milwaukee Bucks,100.0,1.5,-120.0,-1.5,96.0,103.0,2015-16
2015-11-02,Philadelphia 76ers,Cleveland Cavaliers,850.0,13.0,-1450.0,-13.0,100.0,107.0,2015-16
2015-11-02,Golden State Warriors,Memphis Grizzlies,-475.0,-9.0,380.0,9.0,119.0,69.0,2015-16
2015-11-02,Houston Rockets,Oklahoma City Thunder,160.0,4.5,-180.0,-4.5,110.0,105.0,2015-16
2015-11-02,Los Angeles Clippers,Phoenix Suns,-464.0,-9.0,369.0,9.0,102.0,96.0,2015-16
2015-11-02,Minnesota Timberwolves,Portland Trail Blazers,-170.0,-3.5,150.0,3.5,101.0,106.0,2015-16
2015-11-02,New York Knicks,San Antonio Spurs,270.0,7.5,-335.0,-7.5,84.0,94.0,2015-16
2015-11-03,New Orleans Pelicans,Orlando Magic,-205.0,-5.0,175.0,5.0,94.0,103.0,2015-16
2015-11-03,Sacramento Kings,Memphis Grizzlies,165.0,4.0,-185.0,-4.0,89.0,103.0,2015-16
2015-11-03,Detroit Pistons,Indiana Pacers,-185.0,-4.5,165.0,4.5,82.0,94.0,2015-16
2015-11-03,Charlotte Hornets,Chicago Bulls,150.0,3.5,-170.0,-3.5,130.0,105.0,2015-16
2015-11-03,Dallas Mavericks,Toronto Raptors,115.0,2.0,-135.0,-2.0,91.0,102.0,2015-16
2015-11-03,Los Angeles Lakers,Denver Nuggets,-150.0,-3.0,130.0,3.0,109.0,120.0,2015-16
2015-11-03,Miami Heat,Atlanta Hawks,-175.0,-4.0,155.0,4.0,92.0,98.0,2015-16
2015-11-04,Washington Wizards,San Antonio Spurs,155.0,4.0,-175.0,-4.0,102.0,99.0,2015-16
2015-11-04,Oklahoma City Thunder,Toronto Raptors,-380.0,-8.0,310.0,8.0,98.0,103.0,2015-16
2015-11-04,Utah Jazz,Portland Trail Blazers,-300.0,-7.0,240.0,7.0,92.0,108.0,2015-16
2015-11-04,Phoenix Suns,Sacramento Kings,-525.0,-10.0,405.0,10.0,118.0,97.0,2015-16
2015-11-04,Milwaukee Bucks,Philadelphia 76ers,-400.0,-8.5,325.0,8.5,91.0,87.0,2015-16
2015-11-04,Golden State Warriors,Los Angeles Clippers,-345.0,-7.5,280.0,7.5,112.0,108.0,2015-16
2015-11-04,Cleveland Cavaliers,New York Knicks,-725.0,-10.5,525.0,10.5,96.0,86.0,2015-16
2015-11-04,Indiana Pacers,Boston Celtics,109.0,2.0,-129.0,-2.0,100.0,98.0,2015-16
2015-11-04,Atlanta Hawks,Brooklyn Nets,-345.0,-7.0,280.0,7.0,101.0,87.0,2015-16
2015-11-04,Houston Rockets,Orlando Magic,-500.0,-9.0,400.0,9.0,119.0,114.0,2015-16
2015-11-05,Dallas Mavericks,Charlotte Hornets,-170.0,-3.5,150.0,3.5,94.0,108.0,2015-16
2015-11-05,Chicago Bulls,Oklahoma City Thunder,-115.0,-1.0,-105.0,1.0,104.0,98.0,2015-16
2015-11-05,Denver Nuggets,Utah Jazz,130.0,3.0,-150.0,-3.0,84.0,96.0,2015-16
2015-11-05,Portland Trail Blazers,Memphis Grizzlies,165.0,4.5,-185.0,-4.5,115.0,96.0,2015-16
2015-11-05,Minnesota Timberwolves,Miami Heat,160.0,4.5,-180.0,-4.5,84.0,96.0,2015-16
2015-11-06,Orlando Magic,Toronto Raptors,200.0,6.0,-240.0,-6.0,92.0,87.0,2015-16
2015-11-06,New York Knicks,Milwaukee Bucks,-120.0,-1.5,100.0,1.5,92.0,99.0,2015-16
2015-11-06,Indiana Pacers,Miami Heat,-105.0,1.0,-115.0,-1.0,90.0,87.0,2015-16
2015-11-06,Sacramento Kings,Houston Rockets,170.0,4.0,-200.0,-4.0,110.0,116.0,2015-16
2015-11-06,Phoenix Suns,Detroit Pistons,-180.0,-4.0,160.0,4.0,92.0,100.0,2015-16
2015-11-06,Boston Celtics,Washington Wizards,-125.0,-2.0,105.0,2.0,118.0,98.0,2015-16
2015-11-06,Cleveland Cavaliers,Philadelphia 76ers,-1650.0,-13.5,950.0,13.5,108.0,102.0,2015-16
2015-11-06,Brooklyn Nets,Los Angeles Lakers,-155.0,-3.0,135.0,3.0,98.0,104.0,2015-16
2015-11-06,New Orleans Pelicans,Atlanta Hawks,120.0,2.5,-140.0,-2.5,115.0,121.0,2015-16
2015-11-06,Golden State Warriors,Denver Nuggets,-7000.0,-17.0,2000.0,17.0,119.0,104.0,2015-16
2015-11-07,Sacramento Kings,Golden State Warriors,950.0,14.0,-1750.0,-14.0,94.0,103.0,2015-16
2015-11-07,Philadelphia 76ers,Orlando Magic,125.0,3.0,-145.0,-3.0,97.0,105.0,2015-16
2015-11-07,Utah Jazz,Memphis Grizzlies,-145.0,-2.5,125.0,2.5,89.0,79.0,2015-16
2015-11-07,Dallas Mavericks,New Orleans Pelicans,-230.0,-5.5,190.0,5.5,107.0,98.0,2015-16
2015-11-07,Los Angeles Clippers,Houston Rockets,-245.0,-5.5,205.0,5.5,105.0,109.0,2015-16
2015-11-07,San Antonio Spurs,Charlotte Hornets,-520.0,-9.0,400.0,9.0,114.0,94.0,2015-16
2015-11-07,Chicago Bulls,Minnesota Timberwolves,-475.0,-9.0,380.0,9.0,93.0,102.0,2015-16
2015-11-07,Milwaukee Bucks,Brooklyn Nets,-285.0,-6.5,235.0,6.5,94.0,86.0,2015-16
2015-11-07,Atlanta Hawks,Washington Wizards,-205.0,-4.5,175.0,4.5,114.0,99.0,2015-16
2015-11-08,Cleveland Cavaliers,Indiana Pacers,-370.0,-8.0,305.0,8.0,101.0,97.0,2015-16
2015-11-08,Portland Trail Blazers,Detroit Pistons,-130.0,-2.0,110.0,2.0,103.0,120.0,2015-16
2015-11-08,New York Knicks,Los Angeles Lakers,-245.0,-6.0,205.0,6.0,99.0,95.0,2015-16
2015-11-08,Miami Heat,Toronto Raptors,-150.0,-3.0,130.0,3.0,96.0,76.0,2015-16
2015-11-08,Oklahoma City Thunder,Phoenix Suns,-425.0,-8.5,345.0,8.5,124.0,103.0,2015-16
2015-11-09,Sacramento Kings,San Antonio Spurs,275.0,7.5,-340.0,-7.5,88.0,106.0,2015-16
2015-11-09,Los Angeles Clippers,Memphis Grizzlies,-290.0,-7.0,230.0,7.0,94.0,92.0,2015-16
