report_date,report_time,game_date,game_time,matchup,player_name,team,status,reason
2023-12-01,05PM,12/01/2023,07:00(ET),WAS@ORL,"Rollins,Ryan",Washington Wizards,Out,Injury/Illness-RightKnee;Rightknee strain Injury/Illness-LeftKnee;Leftknee
2023-12-01,05PM,12/01/2023,07:00(ET),WAS@ORL,"Wright,Delon",Washington Wizards,Out,"strain Injury/Illness-LeftKnee;Leftknee sprain OrlandoMagic Banchero,Paolo Available Injury/Illness-RightAnkle;Sprain Injury/Illness-LeftHand;Fractured"
2023-12-01,05PM,12/01/2023,07:00(ET),WAS@ORL,"Banchero,Paolo",Orlando Magic,Available,"Injury/Illness-LeftKnee;Leftknee sprain OrlandoMagic Banchero,Paolo Available Injury/Illness-RightAnkle;Sprain Injury/Illness-LeftHand;Fractured Injury/Illness-RightAnkle;Sprain"
2023-12-01,05PM,12/01/2023,07:00(ET),WAS@ORL,"CarterJr.,Wendell",Orlando Magic,Out,"sprain OrlandoMagic Banchero,Paolo Available Injury/Illness-RightAnkle;Sprain Injury/Illness-LeftHand;Fractured Fultz,Markelle Out Injury/Illness-LeftKnee;Tendinitis"
2023-12-01,05PM,12/01/2023,07:00(ET),WAS@ORL,"Fultz,Markelle",Orlando Magic,Out,"Injury/Illness-LeftHand;Fractured Fultz,Markelle Out Injury/Illness-LeftKnee;Tendinitis Howard,Jett Available Injury/Illness-LeftAnkle;Sprain Isaac,Jonathan Available Injury/Illness-RightAnkle;Sprain Injury/Illness-LeftKnee;Tendinitis"
2023-12-01,05PM,12/01/2023,07:00(ET),WAS@ORL,"Harris,Kevon",Orlando Magic,Out,"Fultz,Markelle Out Injury/Illness-LeftKnee;Tendinitis Howard,Jett Available Injury/Illness-LeftAnkle;Sprain Isaac,Jonathan Available Injury/Illness-RightAnkle;Sprain Coach'sDecision"
2023-12-01,05PM,12/01/2023,07:00(ET),WAS@ORL,"Howard,Jett",Orlando Magic,Available,"Fultz,Markelle Out Injury/Illness-LeftKnee;Tendinitis Howard,Jett Available Injury/Illness-LeftAnkle;Sprain Isaac,Jonathan Available Injury/Illness-RightAnkle;Sprain Injury/Illness-RightKnee;PCL Injury/Illness-LeftAnkle;Sprain"
2023-12-01,05PM,12/01/2023,07:00(ET),WAS@ORL,"Isaac,Jonathan",Orlando Magic,Available,"Fultz,Markelle Out Injury/Illness-LeftKnee;Tendinitis Howard,Jett Available Injury/Illness-LeftAnkle;Sprain Isaac,Jonathan Available Injury/Illness-RightAnkle;Sprain Injury/Illness-RightKnee;PCL Injury/Illness-RightAnkle;Sprain"
2023-12-01,05PM,12/01/2023,07:00(ET),WAS@ORL,"Queen,Trevelin",Orlando Magic,Out,"Howard,Jett Available Injury/Illness-LeftAnkle;Sprain Isaac,Jonathan Available Injury/Illness-RightAnkle;Sprain Injury/Illness-RightKnee;PCL GLeague-Two-Way"
2023-12-01,05PM,12/01/2023,07:00(ET),WAS@ORL,"Adams,Steven",Memphis Grizzlies,Out,"Isaac,Jonathan Available Injury/Illness-RightAnkle;Sprain Injury/Illness-RightKnee;PCL Injury/Illness-LeftAchilles;Tendon"
