PPP_Transition,PPP_Isolation,PPP_Spotup,PPP_PRBallHandler,PPP_PRRollman,PPP_Handoff,PPP_Cut,PPP_OffScreen,PPP_OffRebound,PPP_Postup,PPP_Misc,POSS_PCT_Transition,POSS_PCT_Isolation,POSS_PCT_Spotup,POSS_PCT_PRBallHandler,POSS_PCT_PRRollman,POSS_PCT_Handoff,POSS_PCT_Cut,POSS_PCT_OffScreen,POSS_PCT_OffRebound,POSS_PCT_Postup,POSS_PCT_Misc
1.098,0.947,0.918,0.864,1.162,0.841,1.224,0.755,1.148,1.015,0.539,0.152,0.041,0.213,0.23,0.077,0.069,0.061,0.025,0.051,0.026,0.054
1.14,0.955,0.988,0.976,1.123,0.917,1.274,0.926,1.012,0.982,0.54,0.151,0.069,0.194,0.218,0.05,0.046,0.063,0.058,0.059,0.04,0.053
1.071,0.877,1.001,0.823,1.065,0.855,1.252,0.981,1.105,0.895,0.513,0.128,0.068,0.189,0.206,0.059,0.063,0.074,0.036,0.058,0.057,0.063
1.098,0.919,1.006,0.774,1.246,0.955,1.342,0.935,1.114,0.918,0.577,0.174,0.055,0.228,0.17,0.053,0.052,0.064,0.066,0.048,0.034,0.056
1.083,0.82,0.98,0.821,1.035,0.826,1.226,0.903,1.17,0.863,0.54,0.158,0.05,0.229,0.216,0.067,0.055,0.063,0.04,0.051,0.023,0.048
1.105,0.93,1.061,0.979,1.246,0.959,1.405,0.858,1.14,0.888,0.652,0.129,0.063,0.245,0.204,0.071,0.041,0.051,0.053,0.051,0.04,0.051
1.101,0.886,1.03,0.82,1.141,0.889,1.369,0.938,1.125,0.984,0.547,0.139,0.049,0.199,0.147,0.065,0.073,0.088,0.043,0.058,0.076,0.061
1.121,0.838,0.952,0.823,1.041,0.912,1.254,0.944,1.025,0.899,0.466,0.14,0.063,0.193,0.174,0.047,0.07,0.078,0.083,0.049,0.043,0.061
1.117,1.039,1.012,0.952,1.045,0.898,1.221,0.974,1.043,0.846,0.57,0.201,0.196,0.238,0.098,0.043,0.027,0.058,0.023,0.036,0.022,0.056
1.088,0.891,1.08,0.92,1.201,1.008,1.268,1.161,1.04,0.955,0.519,0.138,0.073,0.19,0.226,0.061,0.031,0.054,0.051,0.058,0.062,0.055
1.137,0.876,1.016,0.859,1.207,0.81,1.368,0.81,1.191,0.911,0.576,0.175,0.076,0.187,0.147,0.047,0.039,0.078,0.046,0.059,0.078,0.068
1.177,0.878,1.048,0.87,1.2,1.066,1.309,1.08,1.07,0.921,0.54,0.133,0.046,0.199,0.196,0.057,0.088,0.094,0.049,0.038,0.028,0.072
1.067,0.931,1.063,0.929,1.132,1.063,1.31,0.99,1.169,0.945,0.572,0.205,0.072,0.198,0.134,0.054,0.054,0.064,0.046,0.045,0.067,0.06
1.08,0.923,0.95,0.891,1.038,0.883,1.325,0.848,1.132,0.907,0.548,0.149,0.059,0.241,0.17,0.06,0.068,0.064,0.04,0.053,0.039,0.058
1.142,0.873,0.954,0.832,1.206,0.961,1.318,0.967,0.973,0.784,0.545,0.143,0.076,0.223,0.212,0.055,0.046,0.068,0.063,0.05,0.004,0.061
1.033,0.778,0.922,0.777,1.212,0.908,1.329,0.87,1.127,0.892,0.506,0.141,0.067,0.199,0.178,0.062,0.054,0.055,0.05,0.072,0.07,0.052
1.121,0.826,0.945,0.879,1.043,0.951,1.276,1.052,1.015,0.818,0.482,0.136,0.03,0.188,0.206,0.067,0.061,0.077,0.067,0.059,0.057,0.051
