SEASON,TEAM_ID,TEAM_NAME,PPP_Transition,PPP_Isolation,PPP_Spotup,PPP_PRBallHandler,PPP_PRRollman,PPP_Handoff,PPP_Cut,PPP_OffScreen,PPP_OffRebound,PPP_Postup,PPP_Misc,POSS_PCT_Transition,POSS_PCT_Isolation,POSS_PCT_Spotup,POSS_PCT_PRBallHandler,POSS_PCT_PRRollman,POSS_PCT_Handoff,POSS_PCT_Cut,POSS_PCT_OffScreen,POSS_PCT_OffRebound,POSS_PCT_Postup,POSS_PCT_Misc,USAGE_SUM
2015-16,1610612737,Atlanta Hawks,1.118,0.803,0.978,0.733,1.029,0.929,1.216,0.959,1.046,0.97,0.572,0.149,0.056,0.21,0.167,0.086,0.043,0.084,0.061,0.034,0.057,0.053,1.0
2015-16,1610612738,Boston Celtics,1.102,0.783,0.937,0.781,0.956,0.862,1.258,0.952,1.017,0.869,0.564,0.163,0.052,0.199,0.143,0.073,0.066,0.068,0.061,0.056,0.059,0.06,1.0
2015-16,1610612739,Cleveland Cavaliers,1.196,0.845,1.054,0.816,1.158,0.895,1.227,1.015,1.021,0.886,0.511,0.132,0.089,0.202,0.179,0.063,0.032,0.07,0.047,0.045,0.081,0.06,1.0000000000000002
2015-16,1610612740,New Orleans Pelicans,1.14,0.797,0.932,0.847,1.034,0.914,1.236,1.07,1.002,0.83,0.519,0.128,0.073,0.189,0.205,0.086,0.037,0.06,0.05,0.053,0.064,0.056,1.0010000000000001
2015-16,1610612741,Chicago Bulls,0.995,0.815,1.025,0.829,0.979,0.877,1.215,0.944,0.988,0.809,0.491,0.117,0.064,0.198,0.183,0.065,0.051,0.079,0.038,0.063,0.082,0.06,1.0
2015-16,1610612742,Dallas Mavericks,1.155,0.885,1.012,0.801,1.034,0.868,1.242,0.869,0.982,0.941,0.613,0.096,0.063,0.221,0.178,0.075,0.035,0.082,0.07,0.039,0.08,0.06,0.9990000000000001
2015-16,1610612743,Denver Nuggets,1.133,0.71,0.904,0.754,1.045,0.894,1.19,1.023,1.021,0.874,0.593,0.134,0.062,0.194,0.172,0.077,0.05,0.087,0.029,0.064,0.068,0.063,1.0
2015-16,1610612744,Golden State Warriors,1.158,0.927,1.097,0.98,0.993,1.066,1.249,1.062,0.914,0.801,0.575,0.175,0.063,0.166,0.105,0.051,0.028,0.107,0.118,0.048,0.061,0.079,1.0010000000000001
2015-16,1610612745,Houston Rockets,1.107,0.871,0.961,0.832,1.027,0.874,1.181,0.964,1.039,0.83,0.564,0.19,0.094,0.203,0.133,0.048,0.031,0.074,0.033,0.056,0.064,0.072,0.9980000000000001
2015-16,1610612746,LA Clippers,1.144,0.921,1.023,0.879,1.047,0.85,1.302,1.046,1.037,0.815,0.606,0.128,0.095,0.17,0.184,0.083,0.056,0.06,0.068,0.04,0.044,0.073,1.0010000000000001
2015-16,1610612747,Los Angeles Lakers,1.001,0.774,0.933,0.847,0.929,0.885,1.239,0.874,1.031,0.766,0.523,0.129,0.106,0.146,0.22,0.052,0.045,0.061,0.051,0.055,0.081,0.055,1.0010000000000001
2015-16,1610612748,Miami Heat,1.08,0.849,0.957,0.819,1.172,0.818,1.24,0.904,1.192,0.831,0.51,0.126,0.067,0.205,0.17,0.076,0.041,0.073,0.046,0.061,0.077,0.06,1.002
